2009,01,12,TER,Sell,100
2009,01,16,TER,Buy,100
2009,01,26,TER,Sell,100
2009,01,26,TER,Buy,100
2009,02,02,TER,Sell,100
2009,02,05,TER,Buy,100
2009,02,12,TER,Sell,100
2009,04,03,TER,Buy,100
2009,04,13,TER,Sell,100
2009,04,09,TER,Buy,100
2009,04,17,TER,Sell,100
2009,04,22,TER,Buy,100
2009,04,29,TER,Sell,100
2008,02,27,THC,Buy,100
2008,03,05,THC,Sell,100
2008,03,04,THC,Buy,100
2008,03,11,THC,Sell,100
2008,03,13,THC,Buy,100
2008,03,20,THC,Sell,100
2008,03,19,THC,Buy,100
2008,03,27,THC,Sell,100
2009,09,09,THC,Buy,100
2009,09,16,THC,Sell,100
2009,12,15,THC,Buy,100
2009,12,22,THC,Sell,100
2009,12,21,THC,Buy,100
2009,12,29,THC,Sell,100
2009,03,17,TIE,Buy,100
2009,03,24,TIE,Sell,100
2008,11,13,TSN,Buy,100
2008,11,20,TSN,Sell,100
2008,11,18,TSN,Buy,100
2008,11,25,TSN,Sell,100
2008,11,21,TSN,Buy,100
2008,12,01,TSN,Sell,100
2009,03,12,TXT,Buy,100
2009,03,19,TXT,Sell,100
2008,12,08,WYN,Buy,100
2008,12,15,WYN,Sell,100
2009,04,02,WYN,Buy,100
2009,04,09,WYN,Sell,100
2008,10,10,XL,Buy,100
2008,10,17,XL,Sell,100
2008,11,24,XL,Buy,100
2008,12,02,XL,Sell,100
2008,12,03,XL,Buy,100
2008,12,10,XL,Sell,100
2009,03,18,XL,Buy,100
2009,03,25,XL,Sell,100
2009,03,23,XL,Buy,100
2009,03,30,XL,Sell,100
2009,03,13,XRX,Buy,100
2009,03,20,XRX,Sell,100
2009,03,26,XRX,Buy,100
2009,04,02,XRX,Sell,100
2009,04,03,XRX,Buy,100
2009,04,13,XRX,Sell,100
2009,04,09,XRX,Buy,100
2009,04,17,XRX,Sell,100
